trace_name,predictor_name,MPKI,miss_rate,IPC,Cycles
int_17_trace,TAGE-SC-L,4.6916,2.8178%,2.5973,15400762
int_28_trace,TAGE-SC-L,3.3954,3.3901%,4.8262,8288051
int_29_trace,TAGE-SC-L,11.716,11.5746%,2.5897,15445955
int_2_trace,TAGE-SC-L,10.7227,5.9945%,1.6042,18701134
int_3_trace,TAGE-SC-L,0.8168,0.6918%,5.7031,7013721
int_8_trace,TAGE-SC-L,5.7846,4.0744%,2.6086,15333830
int_9_trace,TAGE-SC-L,0.0,0,0.0,0
int_22_trace,TAGE-SC-L,4.8095,2.8834%,1.8106,22092521
int_23_trace,TAGE-SC-L,3.3888,2.5436%,2.1642,18482741
int_31_trace,TAGE-SC-L,0.6166,0.5166%,8.8085,4541091
int_30_trace,TAGE-SC-L,12.1062,11.4755%,2.5433,15727647
int_18_trace,TAGE-SC-L,0.7357,0.3112%,3.7421,10689061
int_19_trace,TAGE-SC-L,0.7515,0.5136%,5.035,7944446
int_26_trace,TAGE-SC-L,1.2387,2.3257%,5.9162,6761081
int_27_trace,TAGE-SC-L,0.8068,1.7063%,6.3125,6336686
int_12_trace,TAGE-SC-L,0.424,0.4002%,3.26,18404999
int_13_trace,TAGE-SC-L,0.8891,0.8380%,6.443,6208317
