pred_a,pred_b,trace_name,MPKI_A,MPKI_B,delta
Baseline,TAGE-SC-L,web_15_trace,6.1054,5.0656,1.0398000000000005
Baseline,TAGE-SC-L,web_0_trace,1.3961,1.3299,0.06619999999999981
Baseline,TAGE-SC-L,web_1_trace,3.5186,3.2097,0.30889999999999995
Baseline,TAGE-SC-L,int_25_trace,1.3243,1.3109,0.013400000000000079
Baseline,TAGE-SC-L,int_24_trace,0.5662,0.5882,-0.02199999999999991
Baseline,TAGE-SC-L,fp_9_trace,4.5518,4.1115,0.4402999999999997
Baseline,TAGE-SC-L,fp_8_trace,7.8738,7.467,0.4068000000000005
Baseline,TAGE-SC-L,fp_3_trace,2.0315,1.906,0.12549999999999994
Baseline,TAGE-SC-L,fp_2_trace,2.5615,2.5507,0.010800000000000143
Baseline,TAGE-SC-L,int_32_trace,6.9551,6.6269,0.3281999999999998
Baseline,TAGE-SC-L,int_33_trace,7.9877,7.6605,0.3272000000000004
Baseline,TAGE-SC-L,fp_4_trace,0.5736,0.5696,0.0040000000000000036
Baseline,TAGE-SC-L,fp_5_trace,0.9364,0.9369,-0.0004999999999999449
Baseline,TAGE-SC-L,int_35_trace,2.4647,2.2551,0.2096
Baseline,TAGE-SC-L,int_34_trace,3.0703,2.9562,0.11410000000000009
Baseline,TAGE-SC-L,web_18_trace,2.8461,2.7196,0.12650000000000006
Baseline,TAGE-SC-L,web_19_trace,6.0075,5.0555,0.952
Baseline,TAGE-SC-L,fp_13_trace,12.6898,12.4504,0.23939999999999984
Baseline,TAGE-SC-L,fp_12_trace,1.2157,1.0944,0.12129999999999996
Baseline,TAGE-SC-L,int_16_trace,8.1253,5.5268,2.5984999999999996
Baseline,TAGE-SC-L,int_17_trace,6.3949,4.6916,1.7032999999999996
Baseline,TAGE-SC-L,infra_0_trace,1.2832,1.2553,0.027899999999999814
Baseline,TAGE-SC-L,infra_1_trace,0.3574,0.3472,0.010199999999999987
Baseline,TAGE-SC-L,compress_4_trace,1.8228,1.8006,0.022199999999999998
Baseline,TAGE-SC-L,compress_5_trace,1.9322,1.905,0.02719999999999989
Baseline,TAGE-SC-L,int_28_trace,3.6745,3.3954,0.2791000000000001
Baseline,TAGE-SC-L,int_29_trace,12.4572,11.716,0.741200000000001
Baseline,TAGE-SC-L,int_2_trace,10.9652,10.7227,0.24249999999999972
Baseline,TAGE-SC-L,int_3_trace,0.8818,0.8168,0.06500000000000006
Baseline,TAGE-SC-L,web_12_trace,4.4363,3.9415,0.49480000000000013
Baseline,TAGE-SC-L,web_13_trace,3.3938,2.9537,0.44010000000000016
Baseline,TAGE-SC-L,web_7_trace,7.7526,6.009,1.7435999999999998
Baseline,TAGE-SC-L,web_6_trace,4.8893,4.5613,0.3280000000000003
Baseline,TAGE-SC-L,media_3_trace,1.3813,1.2518,0.12949999999999995
Baseline,TAGE-SC-L,media_2_trace,0.5317,0.5065,0.0252
Baseline,TAGE-SC-L,infra_11_trace,1.0885,0.9942,0.09430000000000005
Baseline,TAGE-SC-L,int_8_trace,7.1931,5.7846,1.4085
Baseline,TAGE-SC-L,infra_10_trace,5.3543,5.2213,0.133
Baseline,TAGE-SC-L,int_22_trace,5.3965,4.8095,0.5869999999999997
Baseline,TAGE-SC-L,int_23_trace,3.4824,3.3888,0.09360000000000035
Baseline,TAGE-SC-L,fp_0_trace,3.227,3.2242,0.0027999999999996916
Baseline,TAGE-SC-L,fp_1_trace,15.5816,15.5963,-0.014699999999999491
Baseline,TAGE-SC-L,int_31_trace,0.8411,0.6166,0.22449999999999992
Baseline,TAGE-SC-L,int_30_trace,12.9427,12.1062,0.8365000000000009
Baseline,TAGE-SC-L,web_16_trace,1.8538,1.6055,0.24829999999999997
Baseline,TAGE-SC-L,web_17_trace,1.7267,1.4521,0.27459999999999996
Baseline,TAGE-SC-L,int_18_trace,0.8474,0.7357,0.11170000000000002
Baseline,TAGE-SC-L,int_19_trace,0.8482,0.7515,0.09670000000000001
Baseline,TAGE-SC-L,infra_15_trace,8.4547,8.3148,0.1399000000000008
Baseline,TAGE-SC-L,infra_14_trace,5.4033,5.2755,0.1277999999999997
Baseline,TAGE-SC-L,web_2_trace,4.166,3.7474,0.4186000000000005
Baseline,TAGE-SC-L,int_26_trace,1.3377,1.2387,0.09899999999999998
Baseline,TAGE-SC-L,int_27_trace,0.8728,0.8068,0.06600000000000006
